"switched from backbone to jquery"	0
"migration to angular2 from jquery"	2
"switched to jquery from vue1"	0
"move from angular1 to jquery"	48
"switch to angular2 from vue1"	0
"moved to knockout from angular2"	0
"switched from vue2 to knockout"	0
"moved from vue2 to backbone"	0
"switch from ember to backbone"	1
"move to knockout from angular1"	0
"moved to jquery from backbone"	0
"switched to vue2 from vue1"	0
"move to angular1 from react"	71
"move to angular2 from ember"	40
"switched from backbone to vue1"	0
"moved to backbone from ember"	0
"migration to angular2 from backbone"	0
"migration to ember from vue1"	0
"switched to vue2 from react"	0
"migration to vue2 from angular2"	0
"switch to vue1 from angular2"	0
"moved to angular2 from knockout"	0
"switched from ember to angular1"	7
"switch from angular1 to react"	90
"switched from jquery to vue1"	0
"moved from react to angular1"	78
"move from angular2 to angular1"	2090
"switch to knockout from angular1"	1
"moved from ember to vue1"	2
"migration from ember to vue2"	0
"switch from backbone to angular1"	3
"moved from backbone to jquery"	0
"switched from ember to vue2"	3
"switched to angular2 from react"	0
"migration to jquery from ember"	0
"switched to jquery from vue2"	0
"moved to knockout from angular1"	0
"move from ember to angular2"	21
"move from vue2 to ember"	0
"migration to jquery from react"	0
"migration to knockout from jquery"	0
"moved to vue1 from react"	0
"move from jquery to vue2"	6
"moved from jquery to knockout"	0
"switched to angular1 from knockout"	3
"switch from backbone to ember"	4
"switched from angular1 to backbone"	0
"migration from knockout to react"	0
"migration from backbone to react"	18
"move to react from angular1"	0
"switched to jquery from angular2"	0
"switched to jquery from angular1"	10
"switch from angular1 to knockout"	5
"switched to backbone from vue1"	0
"moved to vue2 from knockout"	0
"moved from knockout to ember"	0
"migration from react to angular1"	27
"switch to react from backbone"	0
"switched from backbone to react"	3
"migration from vue2 to vue1"	0
"moved from vue1 to ember"	0
"switch from vue2 to ember"	0
"move from vue1 to jquery"	0
"switch to angular1 from vue1"	0
"switched from ember to angular2"	7
"migration from angular1 to vue2"	0
"migration from backbone to angular1"	5
"switched from angular1 to angular2"	77
"moved from angular2 to react"	0
"moved to angular1 from knockout"	0
"switched from angular2 to ember"	0
"moved from angular1 to backbone"	3
"migration from angular1 to backbone"	4
"switched to vue1 from backbone"	0
"switch to vue2 from ember"	0
"switched to ember from react"	0
"migration from vue1 to angular1"	3
"move to vue1 from jquery"	0
"moved to ember from vue2"	0
"switched from jquery to react"	0
"switched to vue1 from ember"	0
"migration to vue2 from knockout"	0
"move to vue2 from angular1"	0
"switch from vue2 to knockout"	0
"migration from react to jquery"	0
"migration to angular1 from jquery"	2
"moved to react from angular1"	30
"switched to jquery from backbone"	0
"switch to vue2 from backbone"	0
"moved to ember from backbone"	0
"switched to knockout from ember"	0
"migration to backbone from react"	0
"switch to jquery from ember"	0
"switched to react from angular1"	0
"migration to vue1 from vue2"	0
"switch from angular2 to angular1"	1250
"migration from ember to jquery"	0
"move from ember to knockout"	0
"switch from ember to angular2"	10
"migration from react to vue2"	13
"move from vue1 to angular2"	0
"switched to ember from angular2"	0
"switched from knockout to vue1"	0
"move to vue1 from angular1"	3
"move from vue1 to angular1"	6
"migration to react from knockout"	0
"move from ember to vue1"	2
"switch from vue1 to knockout"	0
"moved to ember from knockout"	0
"migration to jquery from vue1"	0
"moved to angular2 from angular1"	1090
"switch to angular2 from backbone"	0
"switch to angular2 from vue2"	0
"moved to angular2 from ember"	20
"moved to backbone from jquery"	0
"switch to angular2 from ember"	0
"switched from jquery to vue2"	1
"migration from vue2 to ember"	0
"migration from jquery to vue2"	1
"switch to vue1 from backbone"	0
"move to react from backbone"	0
"switch to backbone from angular2"	0
"move from backbone to vue2"	0
"move from angular1 to knockout"	0
"moved to vue2 from angular2"	0
"migration to ember from vue2"	0
"move to vue2 from knockout"	0
"migration from ember to react"	2
"switched from knockout to angular1"	2
"migration from jquery to angular1"	27
"switched to react from jquery"	0
"switch from knockout to jquery"	0
"migration from backbone to knockout"	0
"switched to react from vue1"	0
"switched from react to angular2"	0
"switched from backbone to vue2"	0
"move from vue1 to vue2"	1
"switched to knockout from vue2"	0
"switch to jquery from angular2"	41
"switch to react from vue1"	0
"switch from ember to angular1"	9
"switched to angular2 from knockout"	0
"moved to react from ember"	0
"switched from backbone to angular2"	10
"switched to knockout from angular2"	0
"switch from angular1 to jquery"	32
"switched to backbone from angular1"	0
"move from angular2 to vue1"	0
"migration to ember from jquery"	0
"switched to react from vue2"	6
"moved to angular2 from jquery"	6
"move to react from vue2"	3
"move to vue1 from ember"	0
"move from backbone to ember"	0
"move from ember to backbone"	0
"moved to backbone from vue1"	0
"switch to ember from angular2"	0
"switch from angular2 to knockout"	0
"move to ember from backbone"	0
"move to vue1 from angular2"	0
"switched from vue2 to ember"	0
"migration to ember from angular1"	2
"moved to react from vue1"	0
"moved from jquery to vue2"	1
"switched to angular2 from vue2"	0
"move to angular1 from jquery"	13
"moved to vue1 from knockout"	0
"move from vue2 to angular2"	0
"switched to knockout from backbone"	0
"move to backbone from angular1"	1
"switched from react to backbone"	1
"moved to backbone from knockout"	0
"switch from angular2 to vue2"	0
"moved from knockout to backbone"	0
"switch from jquery to vue1"	3
"switched to ember from knockout"	0
"moved to angular2 from vue2"	0
"moved to angular1 from angular2"	1100
"moved to react from vue2"	4
"move to jquery from vue2"	3
"move from angular2 to vue2"	0
"switched to knockout from jquery"	0
"moved from jquery to vue1"	0
"move to vue1 from vue2"	0
"migration to angular2 from knockout"	0
"switched to react from knockout"	0
"switched to vue2 from knockout"	0
"migration to angular2 from vue1"	0
"switch from vue1 to vue2"	0
"migration to knockout from backbone"	0
"switched to jquery from react"	0
"switched to angular2 from backbone"	0
"move to jquery from angular1"	25
"migration from ember to angular2"	7
"moved from backbone to ember"	2
"migration to vue1 from jquery"	449
"move from angular1 to vue1"	5
"move to ember from angular1"	0
"switch from ember to vue2"	2
"move to angular1 from vue2"	0
"move from vue2 to angular1"	0
"move to vue2 from backbone"	0
"switched to vue1 from vue2"	0
"migration from jquery to vue1"	2
"move to backbone from react"	0
"move to angular1 from angular2"	4870
"switch from vue2 to jquery"	0
"switched from backbone to knockout"	0
"moved from react to vue1"	0
"switched to knockout from vue1"	0
"moved from vue1 to vue2"	0
"move from angular2 to ember"	0
"switch to knockout from vue1"	0
"switch from react to vue2"	12
"move to angular2 from vue1"	0
"move to react from knockout"	0
"moved from ember to jquery"	0
"switched to react from angular2"	0
"switched from vue1 to ember"	0
"moved from angular1 to react"	1630
"moved from ember to angular1"	9
"moved to angular1 from ember"	14
"switch to angular2 from knockout"	0
"switch from react to backbone"	1
"migration from react to ember"	0
"switched to angular1 from vue2"	0
"switched to ember from backbone"	0
"switched to vue1 from react"	0
"move from vue2 to knockout"	0
"move to angular2 from angular1"	4860
"moved from angular1 to vue1"	2
"moved from angular2 to knockout"	0
"moved from angular1 to knockout"	4
"moved from vue2 to ember"	0
"switched to angular2 from angular1"	0
"moved to jquery from vue1"	3
"moved from backbone to vue1"	0
"migration to vue1 from backbone"	0
"move to angular1 from knockout"	4
"move to angular1 from vue1"	0
"moved from knockout to vue1"	0
"move from jquery to knockout"	0
"switch from jquery to knockout"	0
"move from ember to react"	1
"migration to backbone from ember"	0
"move from backbone to vue1"	0
"move to knockout from vue1"	0
"migration to angular2 from react"	0
"switch to backbone from ember"	0
"moved to react from angular2"	0
"migration from backbone to angular2"	10
"switched from ember to jquery"	0
"switch from vue1 to backbone"	0
"migration from vue1 to ember"	0
"moved from angular1 to jquery"	16
"switch to vue2 from knockout"	0
"switch from react to knockout"	0
"moved to jquery from angular2"	33
"move to backbone from vue1"	0
"move from react to backbone"	0
"migration to backbone from angular1"	0
"switched to backbone from ember"	0
"migration to react from vue1"	0
"moved from vue1 to angular1"	3
"migration from vue2 to knockout"	0
"switched to backbone from vue2"	0
"migration to jquery from vue2"	0
"migration from vue2 to react"	0
"moved to vue2 from jquery"	0
"switch from vue1 to jquery"	0
"moved from jquery to angular1"	23
"moved from angular2 to vue2"	0
"moved to jquery from react"	0
"switch from angular2 to jquery"	44
"move from react to vue1"	12
"switch to angular1 from ember"	17
"switch from knockout to ember"	1
"moved to vue2 from ember"	0
"migration to ember from react"	0
"switch from vue1 to angular2"	1
"move from ember to angular1"	15
"migration from knockout to angular2"	2
"move to jquery from angular2"	45
"migration to vue2 from backbone"	0
"moved from backbone to angular1"	5
"switched from angular1 to react"	0
"switch to knockout from react"	0
"migration to vue2 from react"	0
"switch from jquery to backbone"	0
"switched from jquery to ember"	0
"move to vue2 from ember"	0
"migration to knockout from angular1"	0
"moved from angular2 to backbone"	8
"moved from vue2 to vue1"	0
"move to react from jquery"	0
"moved from angular1 to angular2"	71
"switch from backbone to jquery"	0
"switched from angular2 to vue1"	0
"switch to angular2 from angular1"	3380
"moved from vue1 to backbone"	0
"migration from angular1 to react"	73
"moved from react to backbone"	0
"migration from vue2 to jquery"	0
"move to angular2 from react"	0
"move from knockout to backbone"	0
"move to knockout from jquery"	0
"move from vue2 to vue1"	0
"switch to ember from knockout"	0
"switched from ember to vue1"	0
"moved from angular2 to ember"	0
"migration to jquery from angular1"	2
"move from knockout to angular2"	9
"switch from vue1 to react"	0
"migration to angular1 from vue2"	0
"switched to react from ember"	0
"moved to vue1 from angular2"	0
"switched to backbone from knockout"	0
"switch to angular2 from jquery"	16
"moved from angular2 to angular1"	70
"moved to backbone from angular2"	0
"migration to backbone from knockout"	0
"switched from angular2 to knockout"	0
"move from vue1 to backbone"	0
"move from react to jquery"	0
"move to knockout from react"	0
"migration to backbone from angular2"	0
"migration to angular1 from ember"	7
"switch from ember to vue1"	0
"moved from ember to vue2"	5
"move to jquery from react"	0
"switch from react to jquery"	0
"switched to backbone from angular2"	0
"switched from react to vue1"	0
"move to vue1 from backbone"	0
"move to knockout from ember"	0
"migration from vue2 to angular1"	0
"switch from knockout to angular2"	1
"move from knockout to angular1"	5
"move from jquery to ember"	0
"switched to angular1 from ember"	13
"switch to jquery from backbone"	0
"move from vue2 to backbone"	0
"switched from ember to react"	0
"migration to vue1 from ember"	0
"moved to react from knockout"	0
"switch from angular2 to backbone"	7
"switched from ember to backbone"	1
"migration to vue1 from react"	1
"moved to ember from vue1"	0
"switch from knockout to angular1"	6
"switch from angular1 to ember"	12
"migration to angular1 from vue1"	0
"switched to vue1 from angular1"	2
"switch to react from angular2"	0
"moved from backbone to angular2"	16
"moved to ember from angular2"	0
"moved to jquery from knockout"	0
"migration from react to knockout"	0
"move to jquery from backbone"	0
"migration to react from angular1"	13
"moved from vue2 to react"	0
"switch to jquery from vue2"	0
"switch to vue1 from ember"	0
"moved to vue1 from backbone"	0
"moved from react to knockout"	0
"moved to angular2 from vue1"	0
"switched to angular1 from jquery"	5
"migration to angular1 from backbone"	5
"move to angular2 from knockout"	0
"migration to jquery from knockout"	0
"move from angular2 to react"	0
"migration from jquery to ember"	0
"migration from vue1 to vue2"	0
"move to knockout from vue2"	0
"move to ember from jquery"	0
"move to ember from angular2"	0
"move to react from vue1"	0
"moved from ember to angular2"	16
"switched to vue1 from jquery"	48
"moved to vue2 from angular1"	0
"switch to knockout from ember"	0
"move from jquery to backbone"	0
"switch from react to ember"	0
"migration to jquery from angular2"	9
"moved from knockout to vue2"	2
"switched from ember to knockout"	0
"migration from angular1 to jquery"	2100
"migration to angular2 from angular1"	1180
"move from vue1 to ember"	0
"switch to ember from backbone"	0
"moved from backbone to knockout"	0
"switched from vue1 to knockout"	0
"switched from vue2 to backbone"	0
"switched to knockout from react"	0
"switch to ember from vue2"	1
"switched to angular2 from ember"	0
"migration from vue1 to react"	0
"move from jquery to vue1"	1
"moved from jquery to react"	2
"moved from angular2 to jquery"	0
"migration from jquery to knockout"	0
"switched from knockout to vue2"	0
"switched from angular1 to jquery"	0
"migration from ember to angular1"	5
"switch to angular1 from angular2"	3380
"switched from knockout to angular2"	3
"moved from ember to react"	3
"switched from react to ember"	1
"moved from react to jquery"	0
"migration from angular1 to vue1"	2
"switched to vue2 from angular2"	0
"migration from ember to vue1"	0
"move from angular2 to knockout"	0
"move to jquery from vue1"	4
"switch from angular1 to backbone"	6
"switch from react to vue1"	0
"switch to ember from vue1"	0
"move to backbone from vue2"	0
"migration from ember to backbone"	0
"moved from vue1 to react"	0
"moved to knockout from ember"	0
"move to angular1 from backbone"	22
"migration to backbone from vue1"	0
"switch from jquery to ember"	0
"migration from angular2 to angular1"	430
"migration to vue2 from angular1"	0
"switch from backbone to knockout"	0
"switched to angular2 from vue1"	0
"migration to vue2 from vue1"	0
"switched from knockout to ember"	0
"move from backbone to knockout"	0
"moved to knockout from vue2"	0
"migration to knockout from react"	0
"move from angular1 to backbone"	11
"move from react to angular1"	0
"switch to vue2 from angular2"	0
"move from react to ember"	0
"switch to knockout from angular2"	0
"moved to vue2 from vue1"	0
"migration to angular2 from vue2"	0
"switched to vue1 from knockout"	0
"moved to jquery from ember"	0
"switched to react from backbone"	0
"move to angular1 from ember"	27
"switched to angular1 from vue1"	0
"migration from backbone to vue1"	0
"moved to angular1 from jquery"	5
"switch to angular1 from vue2"	0
"moved from knockout to angular1"	3
"switch to vue1 from react"	0
"migration from angular2 to react"	0
"switch from vue1 to angular1"	0
"switched from jquery to knockout"	0
"switch from knockout to vue1"	0
"move to backbone from angular2"	0
"moved from vue1 to jquery"	0
"migration to vue2 from ember"	0
"moved to vue2 from react"	0
"migration to knockout from ember"	0
"move from ember to jquery"	0
"moved to vue2 from backbone"	0
"switched to ember from vue2"	1
"switch from jquery to angular2"	60
"moved to react from jquery"	0
"migration from angular1 to ember"	6
"move to react from angular2"	0
"switched from angular2 to angular1"	0
"migration to backbone from vue2"	0
"moved from vue2 to knockout"	0
"move to react from ember"	0
"moved to angular1 from vue2"	0
"moved to knockout from vue1"	0
"switch to backbone from knockout"	0
"switch from jquery to vue2"	0
"switched to vue2 from jquery"	0
"switched from angular2 to vue2"	0
"migration to knockout from vue2"	0
"switch to angular2 from react"	0
"switch to backbone from vue1"	0
"switch from react to angular2"	0
"switched to jquery from ember"	0
"migration from backbone to ember"	0
"move to vue1 from react"	1
"move to vue2 from react"	0
"switched from react to jquery"	0
"switch to react from angular1"	23
"move to angular2 from jquery"	4850
"migration from angular2 to vue1"	0
"migration from angular2 to ember"	0
"switched to ember from jquery"	0
"migration from knockout to vue1"	0
"switch from ember to jquery"	0
"migration to vue1 from knockout"	0
"moved from vue1 to angular2"	3
"switched from knockout to jquery"	0
"migration from knockout to ember"	1
"move from backbone to angular2"	15
"migration from knockout to backbone"	0
"switched to vue2 from backbone"	0
"moved to knockout from jquery"	0
"move from jquery to react"	0
"switch from knockout to vue2"	0
"switched from vue1 to jquery"	48
"move to knockout from backbone"	0
"move from angular1 to ember"	0
"switched from backbone to angular1"	8
"migration from vue2 to angular2"	0
"switch to vue2 from angular1"	13
"moved from jquery to backbone"	0
"switched from angular2 to backbone"	0
"move from jquery to angular2"	80
"switch to react from vue2"	5
"switched to vue1 from angular2"	0
"migration from react to vue1"	0
"switch to backbone from vue2"	0
"moved to vue1 from vue2"	0
"migration to jquery from backbone"	0
"switched from angular2 to jquery"	0
"switched from jquery to angular2"	35
"moved to ember from jquery"	0
"switch to react from knockout"	0
"switched from vue2 to angular1"	4
"switch to ember from angular1"	8
"switched from vue1 to react"	0
"switch to angular1 from jquery"	15
"switched from react to vue2"	0
"moved from vue2 to jquery"	0
"moved from angular1 to vue2"	0
"migration from vue1 to knockout"	0
"move from ember to vue2"	0
"moved from backbone to vue2"	0
"moved from react to ember"	0
"moved to backbone from react"	0
"switched from backbone to ember"	0
"moved from knockout to react"	1
"migration from backbone to vue2"	0
"switched to vue2 from angular1"	0
"moved to vue1 from jquery"	0
"switch from angular2 to vue1"	0
"switch to vue1 from knockout"	0
"switch to jquery from angular1"	25
"move to ember from react"	0
"migration from knockout to angular1"	1
"switched from knockout to backbone"	0
"migration from vue1 to backbone"	0
"migration from vue2 to backbone"	0
"switch from vue2 to angular1"	0
"switched from vue1 to backbone"	0
"switched to ember from angular1"	0
"moved to react from backbone"	0
"migration to angular1 from knockout"	0
"switch from angular1 to angular2"	1260
"switched from vue1 to angular1"	0
"switch from ember to knockout"	0
"switched to backbone from jquery"	0
"move from react to angular2"	0
"switch to jquery from knockout"	0
"switch from jquery to angular1"	39
"move from react to knockout"	0
"move to vue2 from angular2"	18
"moved from vue2 to angular2"	0
"move to backbone from ember"	0
"move from angular2 to backbone"	0
"switch to angular1 from react"	6
"migration to react from ember"	0
"switch to vue1 from angular1"	2
"switch to ember from jquery"	0
"moved from vue2 to angular1"	0
"moved from jquery to angular2"	40
"move to ember from knockout"	0
"switch to knockout from jquery"	0
"switch from vue2 to vue1"	0
"migration to ember from backbone"	0
"moved to angular2 from backbone"	0
"migration from jquery to angular2"	44
"move to backbone from jquery"	0
"migration from vue1 to angular2"	5
"migration to ember from angular2"	0
"moved to angular1 from backbone"	11
"move to jquery from ember"	0
"switched from vue2 to react"	0
"move from vue2 to react"	0
"switch to angular1 from knockout"	5
"moved to vue1 from ember"	0
"move to angular2 from backbone"	26
"migration to angular2 from ember"	0
"switch to vue2 from jquery"	0
"switched to ember from vue1"	0
"switch from react to angular1"	70
"migration from angular2 to knockout"	2
"move from angular1 to react"	0
"moved to ember from react"	0
"moved to backbone from vue2"	0
"moved to backbone from angular1"	1
"migration to angular1 from angular2"	1160
"move from knockout to jquery"	0
"migration from angular2 to vue2"	0
"moved from angular2 to vue1"	0
"switch from angular2 to react"	0
"migration from react to angular2"	0
"switch from angular1 to vue2"	0
"move from vue1 to knockout"	0
"move from react to vue2"	23
"moved to angular2 from react"	0
"switch from vue2 to backbone"	0
"migration from ember to knockout"	0
"move to ember from vue2"	0
"move from knockout to react"	0
"moved from knockout to jquery"	0
"move to vue2 from jquery"	0
"switched from vue1 to angular2"	0
"switch from angular1 to vue1"	2
"switched from angular1 to vue2"	0
"switch from backbone to react"	4
"migration to react from jquery"	0
"moved from angular1 to ember"	12
"move to ember from vue1"	0
"migration to react from angular2"	0
"switch to jquery from react"	0
"switch from backbone to vue2"	0
"switch to jquery from vue1"	0
"switch to knockout from vue2"	0
"migration to knockout from vue1"	0
"switched from angular1 to knockout"	0
"move to angular2 from vue2"	0
"migration to vue1 from angular1"	1
"migration to backbone from jquery"	0
"switch to react from jquery"	0
"move to vue1 from knockout"	0
"migration from knockout to vue2"	0
"migration from angular2 to backbone"	4
"migration from angular2 to jquery"	16
"move from angular1 to vue2"	0
"switch from vue2 to angular2"	0
"switch to angular1 from backbone"	16
"moved to vue1 from angular1"	1
"switched from knockout to react"	0
"switched from react to angular1"	0
"switched to jquery from knockout"	0
"move from vue1 to react"	0
"switch to vue2 from react"	0
"switch to vue1 from vue2"	0
"switched from jquery to angular1"	22
"switch from ember to react"	1
"switched to knockout from angular1"	0
"migration from react to backbone"	0
"switch to backbone from jquery"	0
"move from angular2 to jquery"	0
"moved to jquery from angular1"	20
"switched from angular1 to ember"	0
"switch from backbone to angular2"	10
"moved from ember to backbone"	0
"switched from vue2 to vue1"	0
"switch to backbone from react"	0
"moved to knockout from backbone"	0
"move from backbone to angular1"	9
"switch from backbone to vue1"	0
"switched to angular1 from angular2"	23
"moved to jquery from vue2"	3
"migration to react from backbone"	0
"migration to angular1 from react"	19
"switch from jquery to react"	0
"switch to knockout from backbone"	0
"switched to angular2 from jquery"	0
"migration from knockout to jquery"	0
"migration from jquery to react"	6
"switched from angular1 to vue1"	0
"switch to backbone from angular1"	1
"switched from angular2 to react"	0
"move to vue2 from vue1"	0
"switch to vue2 from vue1"	0
"switch from vue1 to ember"	0
"moved from react to angular2"	433
"switched from vue1 to vue2"	0
"switched to angular1 from backbone"	14
"move from knockout to vue1"	0
"switched from vue2 to angular2"	0
"migration from angular1 to knockout"	2
"switched to backbone from react"	0
"migration to ember from knockout"	0
"move from knockout to ember"	0
"migration to knockout from angular2"	0
"migration to vue1 from angular2"	0
"moved to ember from angular1"	3
"moved from ember to knockout"	0
"moved from knockout to angular2"	11
"switched from jquery to backbone"	0
"move from angular1 to angular2"	1880
"switched from react to knockout"	0
"move from backbone to react"	9
"moved from vue1 to knockout"	0
"switched to vue2 from ember"	0
"move to knockout from angular2"	0
"migration from backbone to jquery"	0
"switched from vue2 to jquery"	0
"migration from vue1 to jquery"	449
"moved to angular1 from vue1"	0
"switch from angular2 to ember"	0
"moved to knockout from react"	0
"move to backbone from knockout"	0
"switched to angular1 from react"	3
"moved from jquery to ember"	0
"switch from vue2 to react"	0
"migration from angular1 to angular2"	1470
"moved to angular1 from react"	2
"moved from react to vue2"	28
"switch from knockout to backbone"	0
"move from backbone to jquery"	0
"switch to ember from react"	0
"migration to react from vue2"	0
"migration from jquery to backbone"	0
"move from jquery to angular1"	77
"migration to vue2 from jquery"	0
"move to jquery from knockout"	0
"switch to react from ember"	0
"moved from backbone to react"	10
"switch from knockout to react"	1
"move from knockout to vue2"	0
"switch to vue1 from jquery"	0
"move from vue2 to jquery"	0
